Country,Birthplace,Language,Religion,Customs
United States,-0.028468883,-0.517650237,0.440922977,-0.254921532
Canada,-0.649641492,-1.97338084,-0.46595135,0.617758993
France,-0.310820069,0.917321284,-0.771587294,-0.210027731
Germany,-0.90375756,0.938080366,-0.332235625,-1.332372762
Greece,1.099100578,0.424293094,1.760224453,1.245429306
Hungary,1.29858169,0.938080366,1.0460204,1.378763896
Italy,0.995336517,-0.985594537,1.098069695,0.390999486
Netherlands,-0.762154162,1.609290674,-0.916764367,-0.614071942
Poland,1.082540253,-0.034136626,1.272931934,1.002104903
Spain,0.102965594,-0.945806297,-1.102036464,-0.658965743
Sweden,-1.768351115,-0.688912661,-1.154010485,-2.26571489
United Kingdom,0.070354032,0.958428377,-0.22090233,0.328697885
Australia,-1.308225634,-0.346387813,-0.654681545,0.223197452
Japan,1.082540253,-0.293625147,0,0.149122679
